uid,name,condition,lsm_file,pixel_size,nucleus_target_expression,mean_alfa_cytoplasm,sum_alfa_cytoplasm,cv_alfa_cytoplasm,mean_alfa_granules,sum_alfa_granules,cv_alfa_granules,mean_alfa_granule_periphery,sum_alfa_granule_periphery,cv_alfa_granule_periphery,number_of_spots,area_of_spots,sum_intensity_alfa_spots,mean_intensity_alfa_spots,mean_distance_to_granules,MeanRNA_Cytoplasm_Granules_Ratio,SumRNA_Cytoplasm_Granules_Ratio
be66d8fb,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-11,PatA,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-11.lsm,0.051319402472669626,1765.8396220947081,156.2244030563515,9814017,0.5932036843026032,673.3620431396046,4495365,1.437698938212792,725.7454907822621,14565712,1.5308928559676194,5,51,17213,337.5098039215686,2.3962842499739887,0.23200654781184676,2.183141302207941
c0288429,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-21,PatA,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-21.lsm,0.051319402472669626,19761.104087558633,1014.2236746678931,57337107,0.7825149217507409,4891.136183340679,33293964,1.3533218768290296,7513.737145886094,127575743,1.6671682810047654,30,385,1151250,2990.2597402597403,1.2270852121331752,0.20735952479147113,1.7221472036192507
a1dd8afd,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-16,PatA,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-16.lsm,0.051319402472669626,9352.593903940886,1077.1852024679836,62327013,0.7415070686692882,8309.363282769351,42726746,0.7571418622383941,8618.721411640769,163626426,0.9194572760809334,9,70,304271,4346.728571428572,1.2710947467282652,0.1296351075059723,1.4587353083242052
f82d31fb,Vasa405_Membrane-488_mCherry_AlfaTag647-13,Control,Vasa405_Membrane-488_mCherry_AlfaTag647-13.lsm,0.051319402472669626,4135.108032765793,1215.1442313698544,19453244,1.01461872441589,7008.689504827156,45009804,0.8411594478762415,7644.832617375044,151268303,0.9263039654284485,9,92,444509,4831.619565217391,1.208082045497984,0.17337681039129177,0.4322001491052927
b150c96b,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-11,PatA,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-11.lsm,0.051319402472669626,19833.004283929316,1919.4519582419043,57733276,0.8557930810162034,22245.49661334486,154361501,0.9368464248692601,26773.71114023591,408566832,0.9204691057577578,0,0,0,,,0.08628496776693416,0.3740134400481115
b5ab8ba2,Vasa405_Membrane-488_mCherry_AlfaTag647-8,Control,Vasa405_Membrane-488_mCherry_AlfaTag647-8.lsm,0.051319402472669626,2456.245097566851,145.0755231569555,8617341,1.0678533054809682,1152.3911183239893,7810907,0.9443682548587816,1228.5746839872284,28088903,1.1689395533111824,13,201,125439,624.0746268656717,1.9736532647177272,0.1258908723350367,1.1032446039877315
e531d885,Vasa405_Membrane-488_mCherry_AlfaTag647-16,Control,Vasa405_Membrane-488_mCherry_AlfaTag647-16.lsm,0.051319402472669626,9600.970628139783,1397.3910248055954,96499632,0.6380312054312387,5983.889423702354,45998158,1.2800708135242131,6288.150050039687,182211724,1.4125040698607445,58,1093,3526278,3226.237877401647,1.6853878598256742,0.23352554264630798,2.0979020942534263
3b570b29,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-7,PatA,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-7.lsm,0.051319402472669626,9080.535643925574,1144.954560051381,42784662,0.9282267464408422,10187.329718309858,72330041,0.9338577465311683,9956.99769291482,164001709,1.042266381997566,0,0,0,,,0.11239005624737314,0.5915199467396957
d41ae0e9,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-19,PatA,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-19.lsm,0.051319402472669626,14317.876803443049,756.8393162552053,81423801,1.2016376987365227,12995.468990825688,35412653,1.0559640262992662,11052.77722812424,136291796,1.2953102748869407,14,122,446133,3656.8278688524592,1.337076726470903,0.05823870741329192,2.2992855406794854
375becc1,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-17,PatA,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-17.lsm,0.051319402472669626,6252.119157088123,1000.660196501318,54284815,0.7643890424871196,8147.4105452906715,36158208,0.6616678340379875,7251.526119642743,112855501,0.8151544830360945,4,23,67918,2952.9565217391305,1.3479940802420116,0.12281941494647215,1.501313754265698
f43b8b76,Vasa405_Membrane-488_mCherry_AlfaTag647-21,Control,Vasa405_Membrane-488_mCherry_AlfaTag647-21.lsm,0.051319402472669626,7350.366103834622,738.6029925616749,77153730,0.8274647469078387,3284.131083542986,37856179,1.0907647270169327,3581.1657618678314,87734980,1.4856181434682432,43,874,2607033,2982.87528604119,1.9450453848912954,0.2249005821548558,2.038074946761003
02e8a93d,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-9,PatA,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-9.lsm,0.051319402472669626,15659.759182745158,520.1485843850954,25922645,0.710983685260476,10267.5933068633,90508835,1.0031270703309112,12497.983801415303,226063531,1.031766349267396,23,241,309324,1283.5020746887967,2.2570455135771477,0.050659250794186185,0.2864101057095697
8d36d5c8,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-13,PatA,PatA_Vasa405_Membrane-488_mCherry_AlfaTag647-13.lsm,0.051319402472669626,5605.765272029123,520.2457096089414,20341087,1.0371053128442713,3891.7614470208396,53036925,1.0953775185713845,5275.813333994742,106355121,0.9939760092577571,0,0,0,,,0.13367872535126524,0.3835268918776871
